id,nome,email,telefone,endereco,cidade,estado,data_nascimento,valor_compra,categoria_produto,forma_pagamento,status_pedido,data_pedido
3519,Maria Isis Abreu,sampaiomanuela@example.com,+55 (084) 4014-2328,"Aeroporto Ribeiro, 576
Brasil Industrial
92940723 Novais do Norte / BA",Montenegro,RJ,1964-03-20,188.52,Alimentos,Cartão de Crédito,Entregue,2024-09-04 17:42:38
3520,Brenda Vieira,alexia54@example.org,+55 81 1491 7816,"Estação de Costela, 8
Monte Azul
86267474 Pastor de Camargo / AL",Ribeiro,RS,1962-04-19,461.05,Livros,Boleto,Concluído,2024-07-23 01:05:01
3521,Vitor Hugo Pereira,luiz-henrique10@example.net,(071) 0498-9980,"Vereda Mirella Fogaça
Jaqueline
63100865 Pinto / ES",da Cruz de Borges,TO,1995-10-16,497.26,Livros,Transferência,Cancelado,2025-04-04 03:48:11
3522,Danilo Castro,costelacecilia@example.net,+55 11 0892-9528,"Quadra de Novaes, 19
Santo Agostinho
17623362 Cassiano / SC",Borges,PE,1959-02-24,964.76,Livros,Transferência,Entregue,2025-02-22 11:34:30
3523,Vitor Gabriel Borges,casa-grandejoao-lucas@example.net,(071) 5831 4589,"Conjunto Rodrigues
Vila Das Oliveiras
73948026 Montenegro de Goiás / PI",Freitas,MT,1980-02-01,573.7,Vestuário,Boleto,Em Processamento,2025-03-23 10:49:09
3524,Helena Alves,azevedooliver@example.net,+55 81 1397-0389,"Estrada de Cunha, 73
Delta
27905-281 Cavalcante da Serra / SP",Sousa,PR,1992-07-15,246.91,Vestuário,Transferência,Concluído,2024-11-09 13:40:34
3525,Bryan da Rosa,da-luzmanuella@example.com,21 9890-6417,"Núcleo de Sales, 26
Vila Antena Montanhês
20117-276 Farias de Abreu / PB",Camargo de Guerra,AL,1989-12-23,376.61,Alimentos,Boleto,Em Processamento,2024-09-02 10:22:40
3526,José Novais,aparecidaarthur@example.org,+55 21 1270 1220,"Esplanada Luiz Henrique Correia, 1
Vila Olhos D'água
11107147 Dias do Amparo / RS",Sousa,MT,1996-07-18,337.19,Móveis,PIX,Entregue,2025-02-03 05:29:05
3527,Maria Flor Leão,erickaraujo@example.net,+55 (061) 4914-9809,"Pátio de Novaes
João Paulo Ii
79935-608 Cavalcanti Paulista / ES",Viana da Praia,GO,1992-11-06,1947.5,Vestuário,PIX,Concluído,2024-10-30 18:56:53
3528,Augusto Caldeira,gomesmaria-cecilia@example.net,+55 11 6606-9783,"Feira de Fernandes, 44
Esperança
88051748 Câmara / RO",Teixeira dos Dourados,RO,1957-01-09,1530.62,Eletrônicos,PIX,Cancelado,2025-06-03 09:34:25
3529,Jade Cavalcante,pimentaisaac@example.org,+55 (011) 9243-6743,"Sítio de das Neves, 685
Palmeiras
49545778 da Paz da Prata / AC",Silveira da Praia,PE,1994-12-02,1937.13,Alimentos,Transferência,Cancelado,2024-12-06 23:28:57
3530,Caleb Ribeiro,marcelamoreira@example.net,21 7940-9974,"Residencial Aurora Nunes
Tupi B
00562805 Pinto de Pereira / PR",Fernandes do Sul,ES,2002-01-12,907.49,Móveis,PIX,Entregue,2024-08-13 06:48:38
3531,Danilo Caldeira,danilopereira@example.com,+55 61 8007-0799,"Lago da Mota
Vila Paraíso
26208-403 Vargas / ES",Siqueira,PE,1946-04-23,592.82,Eletrônicos,Cartão de Crédito,Entregue,2024-08-04 21:47:33
3532,Ian da Paz,bcorreia@example.com,+55 31 5676 5152,"Distrito Marques, 734
Vila Nova Cachoeirinha 3ª Seção
92954907 Ferreira do Galho / RR",Pacheco,MT,1969-12-06,1606.67,Livros,Cartão de Crédito,Cancelado,2025-05-04 03:30:42
3533,João Santos,fnogueira@example.com,+55 (011) 1808-6877,"Aeroporto de Pastor, 229
Estoril
05712740 Nascimento de Machado / TO",Moraes,AP,1965-01-24,686.2,Vestuário,PIX,Cancelado,2024-09-23 14:57:49
3534,Bento Câmara,ottoleao@example.org,+55 (061) 2290-7248,"Campo Andrade, 26
Solimoes
69290902 Cassiano / PE",Cavalcante,PB,1968-02-16,633.8,Eletrônicos,Cartão de Crédito,Entregue,2025-04-16 04:17:23
3535,Enzo Santos,carvalhoelisa@example.com,+55 81 7693-5630,"Campo de Andrade, 8
Vila Ouro Minas
00394-042 Correia dos Dourados / DF",Carvalho,RJ,1970-06-25,503.39,Móveis,PIX,Cancelado,2025-01-15 08:40:01
3536,Maria Flor Correia,mariana22@example.org,(021) 4717 8275,"Chácara Brayan Ribeiro, 27
Califórnia
74951-195 Borges Verde / PB",Carvalho,RO,1976-07-15,302.87,Alimentos,PIX,Concluído,2025-03-29 13:06:31
3537,Sr. Bernardo Gomes,ferreiratheodoro@example.com,+55 (071) 1396-4842,"Aeroporto de Garcia, 84
Vila Antena
31062-970 da Costa de Goiás / BA",Leão de Barros,PE,1992-01-03,550.1,Eletrônicos,Boleto,Entregue,2024-10-10 10:06:21
3538,Augusto Barbosa,zazevedo@example.org,(061) 3069-4917,"Conjunto Guilherme Caldeira, 28
Leonina
90170-875 Ferreira dos Dourados / SP",Guerra da Mata,AL,1981-08-21,742.87,Alimentos,PIX,Concluído,2025-05-21 03:35:10
3539,Luan Cardoso,ninamachado@example.net,(031) 1945-6101,"Aeroporto Gabriel Cavalcante, 83
Dom Joaquim
08534-725 Sales / PR",Nascimento de Minas,AM,1960-07-20,1364.29,Livros,Cartão de Crédito,Em Processamento,2024-11-11 06:41:39
3540,Dom Rocha,larissa57@example.org,+55 71 3636 5909,"Distrito de Castro, 74
Santa Terezinha
27534149 Pires / DF",Alves do Sul,MS,1967-12-31,172.0,Móveis,Transferência,Concluído,2024-12-06 13:54:02
3541,Dr. Valentim Moreira,ramosjoaquim@example.net,+55 (041) 7460 2930,"Ladeira Pimenta, 4
João Alfredo
90069875 Martins de Nunes / MS",Pacheco de Vieira,RR,1973-07-16,460.49,Móveis,PIX,Entregue,2024-08-18 18:51:22
3542,Alana Andrade,thalesdas-neves@example.com,(081) 1771-3712,"Viaduto de Abreu, 108
Santo Agostinho
50698670 Rodrigues do Oeste / PR",Pereira,PB,1945-06-17,1627.6,Vestuário,Boleto,Em Processamento,2025-01-03 22:12:32
3543,Kevin Garcia,anthony-gabrielabreu@example.org,+55 (031) 6053-5613,"Conjunto de Moraes
Canaa
50296360 Rocha / MG",Barbosa,ES,1994-02-28,336.5,Móveis,Cartão de Crédito,Cancelado,2024-09-18 08:13:27
3544,Diego Farias,gmacedo@example.org,+55 (081) 5158 1012,"Vereda de da Paz, 485
Belmonte
29675727 Marques Paulista / RN",Pimenta,RR,1972-07-05,718.16,Eletrônicos,Boleto,Concluído,2025-02-17 19:19:25
3545,André Sampaio,fernandesmateus@example.net,61 5146 4649,"Aeroporto de Albuquerque, 85
Barão Homem De Melo 2ª Seção
92638-418 da Mota da Mata / SE",Machado de Costa,RS,1949-02-03,1736.08,Eletrônicos,PIX,Concluído,2024-12-29 15:57:23
3546,José Miguel Caldeira,vfreitas@example.net,84 2927 8882,"Esplanada de Costela, 61
Maria Virgínia
17448336 Ferreira / PB",Castro Verde,PR,1951-10-08,352.1,Eletrônicos,PIX,Entregue,2024-12-17 13:59:36
3547,Rafael Leão,caiodas-neves@example.org,(041) 9915-0982,"Rua Lorenzo Macedo, 24
Morro Dos Macacos
15248575 Fogaça do Sul / SP",Aparecida das Pedras,PI,1947-06-25,211.34,Livros,PIX,Cancelado,2024-07-11 09:38:26
3548,Sophie Lima,maria-isis30@example.com,+55 (061) 7131-5142,"Favela Paulo Sampaio, 42
Vila Das Oliveiras
41141-817 Cassiano / AM",Ribeiro da Praia,AL,1957-12-15,994.85,Móveis,PIX,Entregue,2025-02-18 00:04:54
3549,Dante Macedo,sophia00@example.com,(081) 9067 7227,"Núcleo Olivia Silva, 99
Vila São Rafael
75941252 Carvalho dos Dourados / GO",Nogueira das Flores,MT,1961-11-04,639.72,Móveis,Cartão de Crédito,Cancelado,2025-03-23 19:18:12
3550,Bruna Barros,isaqueduarte@example.com,0800-557-7714,"Residencial de Barbosa, 77
Sport Club
22455-331 Garcia dos Dourados / CE",Castro de Ramos,MS,1976-03-15,1148.65,Eletrônicos,Transferência,Entregue,2024-10-12 13:01:16
3551,Oliver Dias,qda-paz@example.com,71 0322 0792,"Fazenda de Fogaça, 56
Grota
00194793 Novais de Dias / PA",Farias,DF,1962-09-09,1617.42,Vestuário,PIX,Cancelado,2024-12-31 00:36:39
3552,Henry Cavalcanti,odas-neves@example.net,+55 (084) 1803 7666,"Largo Raul Jesus, 773
Vila Formosa
32107-846 Cavalcanti de Cunha / GO",Cavalcante,RN,1974-06-27,317.44,Vestuário,Boleto,Em Processamento,2024-09-22 17:37:58
3553,Nina Almeida,ycampos@example.net,0300 545 0316,"Núcleo Costa, 46
Alta Tensão 1ª Seção
17985-987 Carvalho do Sul / RR",Rios,CE,1985-07-27,1182.36,Móveis,Cartão de Crédito,Entregue,2024-08-09 19:24:28
3554,Kaique Fonseca,fda-costa@example.org,0500-925-8956,"Núcleo de Campos, 554
Conjunto Minas Caixa
07570973 Sousa / RR",da Luz Paulista,MS,1997-10-24,1035.74,Móveis,Cartão de Crédito,Em Processamento,2024-08-28 02:11:39
3555,Jade Cavalcanti,riosana-livia@example.net,+55 (011) 8650 3314,"Sítio de Silveira, 2
Copacabana
46599805 Pastor / PR",Farias,ES,2006-04-02,330.95,Alimentos,Cartão de Crédito,Entregue,2024-11-28 20:20:16
3556,Elisa Ferreira,da-conceicaobrayan@example.com,71 4625 1379,"Travessa de Machado, 8
Conjunto Minas Caixa
48115-168 Borges Grande / PI",Rodrigues,PR,1962-05-31,1266.8,Móveis,Boleto,Entregue,2024-11-20 12:54:06
3557,Theo Fogaça,maysa27@example.com,(041) 3784 0724,"Estrada de Silva, 413
Vila Pinho
00185626 Cunha do Amparo / MG",Cunha Verde,PB,1974-08-23,583.6,Eletrônicos,Transferência,Entregue,2024-06-22 18:58:36
3558,Benicio das Neves,lopesrhavi@example.com,41 7160-5366,"Chácara da Rocha
Urca
47455992 da Mota / PA",Nascimento,PI,1999-09-17,1001.28,Livros,Boleto,Concluído,2024-08-31 01:06:07
3559,Luiz Henrique Mendonça,heloisasampaio@example.org,(081) 4391-8038,"Estrada de da Costa, 92
Concórdia
37962-463 Machado / RR",Cirino da Mata,SC,1954-03-31,210.43,Móveis,Boleto,Entregue,2025-02-10 23:34:07
3560,Apollo Leão,carlos-eduardoda-costa@example.com,(011) 6056 4798,"Rua de Nascimento
Vila Santo Antônio
27849533 Nascimento de Vargas / MT",Cavalcante,PE,2004-04-04,946.19,Móveis,Boleto,Cancelado,2025-02-20 08:29:35
3561,Maria Helena Pereira,zrios@example.net,+55 (021) 3536-0723,"Loteamento Isaac Novais, 67
Solar Do Barreiro
20507848 Dias do Galho / RO",Cunha,SC,1977-09-30,647.6,Eletrônicos,PIX,Concluído,2024-09-06 04:25:46
3562,Raul Duarte,juancamargo@example.com,11 2447 0839,"Lago de Albuquerque
Vila Petropolis
30037422 Pacheco Grande / AP",Silveira,TO,1991-10-12,1653.64,Alimentos,PIX,Cancelado,2025-04-10 14:48:08
3563,Mariah Jesus,emoreira@example.com,+55 (011) 7942-8073,"Fazenda Cunha, 131
Bairro Das Indústrias Ii
52316609 Montenegro / TO",Rezende,MG,1992-05-30,161.11,Móveis,Boleto,Cancelado,2024-10-21 14:37:09
3564,Ayla Rios,oliveiraleo@example.com,(051) 3542 6757,"Ladeira Marques, 57
Vila Nova Cachoeirinha 1ª Seção
96798-776 Ferreira do Campo / PE",Nunes,MG,1973-04-30,866.28,Vestuário,Boleto,Cancelado,2024-08-04 08:23:47
3565,Anthony Gabriel Camargo,lucca94@example.com,+55 (011) 1062 0853,"Viela de Camargo, 999
Calafate
12981855 Siqueira / MT",Silveira da Mata,RJ,1951-01-29,943.94,Vestuário,PIX,Cancelado,2024-06-20 21:55:51
3566,Luiz Miguel Melo,ununes@example.org,61 9907-0000,"Quadra de Fonseca
Ouro Preto
36083327 Silva / MA",Câmara,PA,1994-08-11,1463.76,Vestuário,PIX,Cancelado,2024-09-14 18:38:17
3567,Raul Peixoto,davimarques@example.com,+55 41 3172 1593,"Pátio da Paz, 37
Flavio De Oliveira
28899-127 das Neves / MT",Duarte das Flores,AC,2002-07-01,1169.86,Livros,Transferência,Em Processamento,2024-07-08 00:38:12
3568,Guilherme Porto,cunhalorenzo@example.net,61 4941-9852,"Esplanada Camargo, 6
Santa Cecilia
92350835 da Costa das Flores / AL",Oliveira de Fogaça,PI,1999-01-08,1351.06,Livros,Boleto,Concluído,2024-09-01 03:20:45
3569,José Miguel Vargas,silveiralara@example.net,+55 11 0646 4012,"Esplanada de Santos, 90
Vila Maloca
45871488 Novaes Alegre / RN",Moreira,PA,1978-09-02,1565.25,Móveis,Cartão de Crédito,Cancelado,2025-05-24 20:02:02
3570,Raquel Aragão,elisa62@example.org,+55 (021) 4187-1772,"Alameda Monteiro, 99
Sagrada Família
87633-493 Abreu Verde / PI",Barros,MT,2006-12-14,1731.3,Móveis,Transferência,Em Processamento,2024-08-07 11:28:47
3571,Esther da Rocha,hadassa52@example.org,+55 71 0884 5924,"Parque Catarina Barros, 5
Pirineus
45734-265 Marques / DF",Porto,AM,1961-08-17,662.06,Móveis,Cartão de Crédito,Em Processamento,2024-07-03 10:35:23
3572,Rhavi Peixoto,benjamim91@example.com,+55 (021) 0287-8918,"Núcleo Sarah da Luz, 772
Vila Maria
45189667 da Rosa de Vargas / RO",Garcia de Minas,SC,1970-11-06,1099.14,Livros,Transferência,Cancelado,2024-07-28 11:47:19
3573,Yuri Barros,da-pazbarbara@example.com,+55 51 3504 1003,"Recanto Nascimento, 76
Cidade Nova
37178626 Pimenta / SP",Cirino de Câmara,PA,1999-08-02,1688.21,Móveis,Boleto,Entregue,2025-06-04 22:23:12
3574,Srta. Milena Viana,tcirino@example.org,+55 71 1952 0051,"Estação de Casa Grande
Vila Paris
42262-804 da Rocha / AP",Vieira das Pedras,SE,1968-02-14,1979.43,Eletrônicos,Cartão de Crédito,Cancelado,2025-01-31 09:17:30
3575,Sra. Stephany Rios,ycorreia@example.net,21 6549-4168,"Vale João Miguel Macedo
Ernesto Nascimento
62159134 Fonseca / AM",Cardoso de Minas,PI,1950-10-31,1784.56,Alimentos,PIX,Em Processamento,2025-01-05 01:00:27
3576,Alícia Nascimento,pfernandes@example.com,51 1689 2659,"Via de Pinto
Brasil Industrial
06580-496 Cunha de Minas / SC",Gomes,MG,1988-08-19,774.36,Vestuário,Transferência,Cancelado,2024-09-01 03:31:30
3577,Srta. Isis Viana,xlima@example.com,+55 (071) 4902 9503,"Chácara de Borges, 45
Oeste
43828-861 Fogaça / RO",Fernandes Alegre,PE,2003-02-25,430.57,Vestuário,Cartão de Crédito,Em Processamento,2025-05-21 21:04:35
3578,Ana Julia Cirino,lara08@example.org,+55 31 2736-3325,"Favela Helena da Costa, 10
Maria Helena
81387-842 Gonçalves / AM",Siqueira das Pedras,PI,1969-11-12,1004.32,Eletrônicos,Transferência,Cancelado,2025-05-20 16:02:37
3579,Davi Lucas Oliveira,joao-vitor58@example.com,+55 (031) 4976-1363,"Recanto da Conceição, 88
Vila Santa Rosa
65839-253 Novaes de Rocha / RS",Casa Grande,MS,1966-05-29,1496.2,Móveis,Boleto,Em Processamento,2025-03-16 06:57:59
3580,Marcela Mendonça,lunnaaraujo@example.com,+55 11 9069-6607,"Rua Montenegro, 98
Aeroporto
59568742 Pereira do Oeste / AC",da Paz,SE,1945-11-20,1010.51,Livros,Cartão de Crédito,Cancelado,2024-11-29 11:26:28
3581,Ana Sophia Correia,freitasemanuel@example.com,0800 704 5013,"Estrada Costela, 598
Conjunto Jardim Filadélfia
96641415 Jesus de da Paz / BA",Leão,MS,1978-08-09,992.2,Móveis,Cartão de Crédito,Entregue,2024-07-01 19:26:07
3582,Nicole Farias,eloahda-conceicao@example.net,+55 (081) 7957 9790,"Alameda Vieira
Vila Puc
57699-945 Duarte da Prata / PB",Almeida de Goiás,RN,1984-05-08,1684.55,Móveis,Cartão de Crédito,Entregue,2025-02-19 15:50:19
3583,Sr. Luiz Miguel Sá,mirellanovais@example.com,0800-812-2865,"Lago de Albuquerque, 9
Álvaro Camargos
32030-891 Moraes do Amparo / AC",Andrade das Flores,PB,1969-06-24,754.74,Vestuário,Transferência,Em Processamento,2024-12-01 07:58:34
3584,Isabelly da Paz,almeidaluisa@example.net,61 9909 6698,"Colônia de Lopes, 114
Dom Joaquim
51604-426 Vargas Verde / ES",Casa Grande Alegre,RS,2001-04-28,1726.6,Vestuário,PIX,Entregue,2024-11-13 11:46:39
3585,Ana Cunha,maria-alice79@example.net,(051) 1365 1152,"Pátio Camila Caldeira
Caetano Furquim
81340-810 Vargas / PR",Brito,GO,1978-03-03,843.27,Livros,PIX,Entregue,2025-02-14 08:07:53
3586,João Guilherme Borges,manuella21@example.net,+55 (031) 8769 2501,"Condomínio Heloisa Fernandes, 67
São Jorge 2ª Seção
57452567 das Neves dos Dourados / SE",Martins,SC,1965-12-05,690.05,Vestuário,PIX,Concluído,2024-09-07 16:57:12
3587,Ravi Lucca Porto,ribeirogael-henrique@example.net,+55 61 4062-5928,"Conjunto Abreu, 26
Vila Coqueiral
87162-406 da Conceição da Praia / GO",Ribeiro do Sul,RJ,1967-07-21,935.28,Móveis,Boleto,Cancelado,2025-04-03 19:55:57
3588,Maria Laura da Cunha,vitor-gabrielaraujo@example.com,61 7612-9484,"Vereda Bruno Fernandes, 203
Dom Bosco
91119214 Andrade / GO",Fonseca de Sá,PA,2001-05-13,1536.77,Eletrônicos,Cartão de Crédito,Cancelado,2024-10-16 10:04:32
3589,Melissa da Costa,nda-luz@example.com,+55 21 8464 5959,"Chácara Aragão, 55
Novo Glória
17637003 Sousa de Novaes / CE",Vargas do Amparo,GO,1949-12-17,295.7,Livros,PIX,Entregue,2024-11-29 09:32:03
3590,João Montenegro,andradehellena@example.com,(031) 4761 3243,"Fazenda Olívia Teixeira
Vila Das Oliveiras
24214448 Mendes / AM",Gomes de Jesus,MS,1959-09-01,433.02,Eletrônicos,PIX,Entregue,2025-05-28 19:49:42
3591,Luigi Aragão,pereiragiovanna@example.net,0800 945 9336,"Esplanada Pinto, 9
Vila Santa Monica 1ª Seção
27518-430 Novaes de Goiás / SP",Gomes de Carvalho,ES,2006-10-04,1905.32,Móveis,Cartão de Crédito,Em Processamento,2024-09-08 10:07:52
3592,Dr. Luiz Felipe Lima,da-rosalucca@example.net,0500 422 4452,"Vale de da Rocha, 52
Dom Joaquim
78454439 Rocha / AC",Pimenta,SE,1972-01-19,392.21,Livros,Boleto,Cancelado,2024-08-09 01:42:38
3593,Gabriela Camargo,luisa69@example.org,81 7956-8524,"Recanto de Vieira, 97
Alpes
05161002 Ribeiro / SP",Borges,AC,1965-06-23,1157.07,Eletrônicos,Transferência,Concluído,2025-06-05 07:55:59
3594,Ravi Carvalho,hellenasouza@example.com,41 8776-7812,"Avenida Maria Rezende, 904
Campo Alegre
40016-111 Pereira / PA",Rocha,PB,1998-02-02,1179.66,Livros,Transferência,Concluído,2025-05-26 03:34:55
3595,Dr. Ian Costela,barbara35@example.com,+55 21 2343 7246,"Jardim Ana Julia Pinto, 47
Vila Do Pombal
12125966 Almeida / MA",Câmara,SC,1999-01-21,1004.77,Móveis,Transferência,Entregue,2024-09-03 22:54:03
3596,Pietra Abreu,kmacedo@example.com,(084) 8955-2470,"Viaduto Pacheco
Lagoinha
31223216 Dias / PI",da Costa,RO,1946-07-04,1307.25,Livros,Cartão de Crédito,Em Processamento,2024-09-06 15:50:27
3597,Sophia Carvalho,urios@example.org,71 9917-0093,"Trecho Cecilia Caldeira, 671
Bernadete
64885090 Cardoso de Camargo / PE",Abreu,BA,1991-11-07,498.16,Móveis,Boleto,Em Processamento,2024-09-29 09:51:03
3598,Ana Cecília Montenegro,ramosmathias@example.com,+55 51 6492 3415,"Trevo Carvalho, 930
Jonas Veiga
15322862 Nascimento da Praia / GO",Cavalcanti do Sul,PB,2000-07-29,1127.69,Livros,Cartão de Crédito,Cancelado,2025-04-24 22:34:38
3599,Ravi Lucca Silveira,moraesrafaela@example.net,+55 (084) 6806 4941,"Aeroporto Cardoso, 12
Calafate
07845-781 Sá do Norte / AL",Borges,DF,1985-05-31,775.74,Livros,Transferência,Entregue,2024-10-01 03:21:00
3600,Sr. Caleb Correia,costagabriel@example.net,(071) 8872 1078,"Colônia Allana Sampaio, 10
Boa União 2ª Seção
83042-215 Barros de Goiás / RS",Abreu,PI,1952-11-22,1340.25,Vestuário,PIX,Entregue,2024-12-27 23:24:09
3601,Dr. Leandro Fonseca,tda-conceicao@example.net,+55 (051) 3241-6647,"Lago de Aragão
Providencia
76262021 Pinto do Galho / MG",Fonseca,DF,1991-05-01,325.39,Móveis,PIX,Em Processamento,2025-01-15 07:40:28
3602,Sofia da Cunha,macedoleticia@example.org,51 6767 2243,"Pátio Casa Grande, 53
Mirante
14934-372 Duarte da Praia / RS",Sampaio,DF,2004-12-19,1163.21,Alimentos,PIX,Concluído,2024-08-04 09:24:20
3603,Ayla Pires,estermachado@example.org,+55 (011) 8623-0272,"Colônia de Sá
Canaa
74208425 Silveira do Campo / BA",Azevedo,RJ,1962-04-25,411.28,Livros,Transferência,Concluído,2024-12-30 03:18:30
3604,Kamilly Lopes,luizapinto@example.com,0800 124 1108,"Recanto Moreira, 8
Vila Madre Gertrudes 1ª Seção
90323-466 Silveira / MT",Dias,PB,1966-04-04,593.35,Eletrônicos,Boleto,Cancelado,2024-09-18 21:21:31
3605,Ana Júlia Barbosa,aparecidayago@example.org,+55 84 7140-8628,"Área de Barbosa, 55
Grajaú
47141-599 Pimenta / SP",Barros do Campo,AC,1992-02-20,476.48,Vestuário,Transferência,Entregue,2024-10-24 08:08:08
3606,Lucas Pimenta,faraujo@example.net,0900 182 4019,"Trecho Maria Júlia das Neves, 7
Coqueiros
44112-208 Pinto da Praia / CE",Dias,AL,1998-12-23,406.53,Vestuário,Cartão de Crédito,Entregue,2024-12-12 13:22:52
3607,Enrico Souza,hgarcia@example.com,(084) 2697 6791,"Distrito de Vieira, 68
Oeste
38719-610 Pires de Gomes / RO",Pacheco de Nogueira,MA,1999-08-01,1660.14,Livros,Boleto,Concluído,2025-03-03 22:03:14
3608,Srta. Ana Julia Peixoto,liamcorreia@example.com,51 8793 8812,"Alameda Albuquerque, 66
Senhor Dos Passos
61781-521 Pastor Paulista / AC",Montenegro da Praia,ES,1954-09-23,607.13,Alimentos,PIX,Entregue,2024-09-09 01:04:56
3609,Daniela Araújo,nogueirafrancisco@example.org,+55 81 2941-2048,"Avenida de Cavalcanti, 29
Santo André
07327-355 Siqueira de Costela / MA",Nascimento,MA,1962-12-21,1857.89,Vestuário,Boleto,Entregue,2025-04-24 07:21:05
3610,Luiz Felipe Gomes,eduarda23@example.net,+55 81 9797 9820,"Vila Silva
Grotinha
00741800 Guerra do Sul / SP",Casa Grande,AM,1975-03-31,1941.36,Móveis,Boleto,Em Processamento,2024-08-03 03:47:40
3611,Yuri Carvalho,amachado@example.net,+55 (071) 6809-2003,"Residencial Vasconcelos, 79
Urca
84046590 Araújo de Barros / SC",Melo,RS,1979-04-21,1163.96,Livros,Transferência,Cancelado,2025-05-07 08:15:58
3612,Caroline Souza,igorpereira@example.org,0300 692 3862,"Setor de Brito, 45
Vila Fumec
18845187 Câmara / SE",Melo,ES,1989-02-24,328.85,Livros,Boleto,Cancelado,2025-02-05 06:14:44
3613,Lorena Lima,alanaaraujo@example.net,0500-592-4838,"Vereda Alves, 58
São Luiz
33155672 Nascimento de Andrade / PA",Vasconcelos Verde,ES,1992-12-09,780.37,Alimentos,Transferência,Cancelado,2024-09-12 10:08:16
3614,Isabel Almeida,caiocirino@example.org,(061) 0835-8717,"Rodovia Oliveira, 98
Vila Dos Anjos
91690559 Souza / ES",Cardoso dos Dourados,PB,2004-11-11,1605.58,Móveis,Cartão de Crédito,Em Processamento,2025-05-11 12:33:40
3615,Sra. Vitória Sousa,bleao@example.net,0800-266-4171,"Campo Souza, 44
Monsenhor Messias
11812-442 Sales Grande / AL",Fonseca Verde,GO,1998-08-03,766.41,Móveis,Boleto,Cancelado,2024-07-05 19:36:12
3616,Yasmin Cassiano,oviana@example.org,11 0756 3517,"Alameda de da Conceição, 835
Casa Branca
62990111 Moreira / DF",Freitas,RR,1974-07-31,219.68,Alimentos,Boleto,Cancelado,2024-08-25 05:24:59
3617,Alice Martins,gabriel68@example.com,51 9627 8591,"Distrito Maria Laura Garcia, 8
Planalto
75241185 Mendonça dos Dourados / ES",Azevedo,BA,1983-03-06,1135.73,Eletrônicos,Boleto,Concluído,2025-03-24 10:14:36
3618,Dra. Bianca Marques,elisacampos@example.com,11 3310-1968,"Vale Peixoto, 436
Barro Preto
04459-885 Almeida da Mata / AC",Casa Grande de Pinto,AP,1972-11-04,1697.99,Móveis,PIX,Concluído,2025-06-04 15:25:56
3619,Manuela Cardoso,rhavi06@example.com,+55 (011) 6224-6143,"Estação de Camargo, 313
Vila Aeroporto
76761100 da Luz do Norte / SE",Guerra,SP,1968-06-26,1602.06,Eletrônicos,Transferência,Cancelado,2025-04-15 09:54:33
3620,Davi Miguel Teixeira,raeljesus@example.net,0500-784-1904,"Sítio Macedo, 71
Beija Flor
56386-471 Ramos / RS",Montenegro,RN,1969-05-25,391.49,Eletrônicos,Transferência,Em Processamento,2025-05-16 12:31:02
3621,Mirella Teixeira,azevedoisaque@example.org,(031) 9500-2603,"Favela Levi Montenegro, 93
Conjunto Jatoba
27870-594 da Mota da Praia / PE",da Cruz Verde,TO,1979-09-19,1361.89,Livros,PIX,Em Processamento,2024-11-03 07:30:11
3622,Breno Nascimento,dbarros@example.org,+55 (041) 3616-6331,"Praia de Mendonça, 48
Ipe
88758-727 Dias de Gomes / MS",Dias do Campo,RJ,1952-12-19,479.98,Livros,Transferência,Em Processamento,2025-01-02 00:20:15
3623,Yan Rocha,maria-juliada-rocha@example.org,31 1829-8771,"Praia Letícia Martins, 11
Boa Esperança
21376510 Albuquerque de Lopes / PE",Vieira da Mata,AM,1970-11-12,475.5,Vestuário,Cartão de Crédito,Entregue,2025-03-29 20:50:20
3624,Anthony Araújo,antonio13@example.com,+55 41 6718-6368,"Esplanada Rocha, 4
Vila Santa Monica 2ª Seção
04245187 Costa da Serra / RO",Abreu,BA,1960-09-01,1754.44,Livros,PIX,Entregue,2024-12-08 00:35:34
3625,Sr. Ravi Lucca Mendonça,ana-sophia48@example.net,+55 (061) 8507 7091,"Jardim Maria Fernanda Costa, 76
Atila De Paiva
38980432 Camargo das Flores / AL",Melo da Praia,MT,1998-07-07,536.85,Móveis,Transferência,Em Processamento,2024-06-24 03:51:57
3626,Cauã Vieira,aurora11@example.net,81 8593 4664,"Lago de Gonçalves, 389
Vila Oeste
80762743 Câmara dos Dourados / MS",Monteiro de Nogueira,PE,1944-07-22,563.33,Móveis,Cartão de Crédito,Concluído,2024-08-10 01:59:38
3627,Srta. Ana Luiza Nunes,rael69@example.org,+55 61 5021 6777,"Condomínio Casa Grande, 362
Xodo-Marize
27860295 Fernandes do Campo / RS",Borges,RJ,2002-02-10,51.27,Eletrônicos,Transferência,Entregue,2025-05-29 20:07:45
3628,Sr. Davi Lucas Andrade,teixeirabrayan@example.org,41 6721 5068,"Aeroporto Benjamin Rocha, 21
São Lucas
78952-726 Sampaio / CE",Porto,TO,1960-02-06,1747.8,Móveis,PIX,Em Processamento,2025-01-28 19:05:41
3629,Sr. Valentim Sá,jesusdavi@example.org,+55 51 6736 5790,"Colônia Pacheco, 33
Vila Calafate
71770137 Montenegro / PB",Dias,BA,1970-06-09,1595.56,Livros,Transferência,Entregue,2024-08-19 03:33:21
